字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
渹	7820	901	hɣwɛŋ		水石聲又大也
渺	12628	1686	mjie̋w	vast (of water)	渺㵿水皃
渻	13519	1859	ʂia̋ŋ		水名亦丘名
渻	13632	1895	sie̋ŋ		說文曰少減也一曰水門又水出丘前謂之渻丘
渼	10262	1253	mi̋		渼陂在京兆鄠縣
渽	3657	390	tsəi		水名出蜀
渾	4430	483	ɦwon	chaotic	渾濁益部𦒿舊傳曰漢武時洛下閎明曉天文於地中轉渾天定時節亦姓左傳鄭大夫渾罕又胡本切
渾	11754	1530	ɦwőn	chaotic	渾元又戸昆切
渿	16455	2426	nɑiʱ		說文曰沛之也
湀	3193	317	kʰwe		泉水通川又古比切
湀	10341	1268	ɡjwi̋		泉出也說文曰湀辟深水處也
湀	10347	1271	kjwi̋		通流
湀	22293	3472	kʰwet		爾雅云湀闢流川又揆[圭/奎]二音
湁	24545	3767	ʈʰip		湁潗沸皃丑入切三
湂	23068	3578	ŋɑk		水名
湃	16735	2482	pʰɣɛiʱ		滂湃普拜切二
湄	1534	170	mi		釋名曰湄眉也臨水如眉也爾雅曰水草交爲湄
湅	17911	2701	lenʱ		熟絲也周禮曰㡛氏湅絲
湆	24502	3761	kʰip	meat juice	羹汁
湉	9607	1126	dem		水靖
湊	19561	3075	tsʰəuʱ		水會也聚也
湋	1880	213	ɦiui		水名
湌	4629	512	tsʰɑn		上同餐俗作飡說文吞也七安切三
湍	4762	526	tʰwɑn	rushing water	急瀨也他端切又音專六
湍	5512	630	tɕwien		水名在鄧州又音煓
湎	12352	1637	mjie̋n	sink in (wine)	沈湎
湐	23254	3599	pɣak		洦湐淺水
湑	2089	232	siɤ		露皃又息吕切
湑	10662	1333	siɤ̋	to strain (spirits)	露皃
湒	24453	3754	tsip		雨皃
湓	4551	495	bwon		水名在尋陽一曰水涌也
湓	17298	2584	pʰiunʱ		含水潠也匹問切四
湓	17462	2621	pʰwonʱ		水聲
湔	5040	576	dzen		湔葫藥名
湔	5059	578	tsen		水名出蜀郡玉壘山
湔	5276	601	tsien		洗也一曰水名出蜀玉壘山
湔	18038	2727	tsienʱ		水名在蜀
湕	11680	1518	kiɐ̋n		水名居偃切五
湖	2649	280	ɦo	lake	江湖廣曰湖也
湘	7126	819	siɑŋ		水名在零陵
湛	9077	1050	ɖim		漢書曰且從俗浮湛又徒減切
湛	9319	1081	təm		湛樂亦見詩
湛	14494	2066	ɖɣɛ̋m		水皃又沒也安也亦姓後漢有大司農湛重徒減切又直心切三
湜	24081	3701	dʑɨk		水淸也
湝	3325	340	kɣɛi		水流皃又戸皆切
湝	3336	342	ɦɣɛi	cold	風雨不止
湞	7833	903	ɖɣɛŋ		水名出南海
湞	7910	914	ʈieŋ		湞陽縣名湞水所出
湟	7402	845	ɦwɑŋ		水名出金城
湠	17517	2635	tʰɑnʱ		湠漫水廣皃出字林
湡	2227	250	ŋwio		齊藪名亦作隅爾雅曰齊有海湡又水名在襄國
湢	24220	3714	pɨk		湢㳁水驚起勢也
湨	23996	3689	kwek		水名在温縣
湩	9927	1187	tow̋ŋ		都𪁪切濁多也此是冬字上聲一
湩	14588	2096	tuŋʱ		乳汁巨蒐民取牛馬湩以洗穆天子之足
湩	14692	2131	ʈiowŋʱ		乳汁竹用切又都貢切三
湪	17688	2658	tʰwɑnʱ		水名
湫	8480	989	tsʰiu		水池名北人呼
湫	8546	992	tsiu		水名又子小切
湫	12569	1675	tse̋w		湫隘子了切又子攸切五
湫	13813	1936	dziű		洩水瀆也在九切又子由子小切二
湮	3727	403	ʔjin		落也沈也
湮	5115	582	ʔen		爾雅云落也又音因
湯	7022	809	ɕiɑŋ	amply-flowing	湯湯流皃本他郎切
湯	7433	847	tʰɑŋ	hot liquid	熱水又姓宋有沙門湯休有文集吐郎切十一
湯	19001	2936	tʰɑŋʱ		熱湯也又他郎切
湱	23366	3619	hɣwak		漰湱波激水也
湱	23494	3636	hɣwɛk		漍湱水出西豁
湲	5030	573	ɦɣwɛn		水流皃獲頑切一
湲	5529	632	ɦwien		潺湲
湳	14200	2008	nə̋m		水名在西河又姓
湴	19892	3174	bɣamʱ		上同埿深泥也蒲鑑切二
湽	1783	199	tʂɨ		水名亦州名春秋時屬齊漢爲濟南郡宋文帝改淸河郡隋置淄州因水以名焉古通用菑
溎	17950	2707	ʔenʱ		大水皃
溏	7276	837	dɑŋ		池也
源	4265	469	ŋwiɐn	spring, source	水原曰源又姓禿髮傉[擅/檀]之子賀入後魏魏太武謂之曰與郷同源可爲源氏說文本作[厵/𠫐]篆文省作原後人加水[厵/𠫐]
溑	13009	1747	swɑ̋		水名
溒	4295	470	ɦwiɐn		纂文云姓也玉篇云水流皃
溓	9613	1127	lem		大水中絕小水出也說文曰薄水也一曰中絕小水
溓	14350	2034	lie̋m		薄冰也
溓	14466	2057	le̋m		薄冰
溔	12671	1692	jie̋w		浩溔大水皃
準	11538	1484	tɕwi̋n	water-level	抣也平也度也又樂器名狀如瑟長丈而十三弦隱九尺以應黃[鍾/鐘]之律之尹切又音拙四
準	22649	3512	tɕwiet		應劭云準頰權準也李斐云準鼻也又章允切
溗	8282	954	ʑɨŋ		波前後相淩也
溘	16561	2446	kʰɑiʱ		船著沙也
溘	24698	3786	kʰəp		至也奄也依也口荅切七
溜	19371	3049	liuʱ		水溜力救切十九
溝	8950	1028	kəu	irrigation canal	溝渠爾雅云水注谷曰溝釋名曰田閒之水曰溝溝搆也縱橫相交構也
溞	6301	713	sɑw		淅米
溟	8188	942	meŋ		溟濛小雨又溟海也
溟	13658	1900	me̋ŋ		上同瀴瀴涬大水皃
溠	6424	726	tsʰɑ		水名在義陽
溠	6875	786	tʂɣa		水名出義陽又側稼切
溠	18708	2866	tʂɣaʱ		周禮職方氏云河南曰豫州其浸波溠春秋傳云楚子除道梁溠
溢	21001	3295	jit	overflow	滿溢
溣	17475	2626	lwonʱ		水中曳船曰溣
溥	11062	1390	pʰő		大也廣也
溥	23162	3586	pɑk		水名
溧	21027	3299	lit		溧水縣在宣州
溨	3619	388	dzəi		麴也[溨/渽]
溩	11027	1386	ʔő		水溩
溪	3170	315	kʰe	valley with stream in it	[上同谿]爾雅曰水注川曰谿苦奚切八嵠溪
溫	4466	485	ʔwon		水名出犍爲又和也善也良也柔也暖也又姓唐叔虞之後受封於河内温因以命氏又卻至食采於温亦号温季因以爲族出大原又漢複姓二氏莊子有温伯雪子姓苑又有温稽氏
溭	24105	3704	ɖʐɨk		溭淢水勢
溰	1984	222	ŋiɨi 		溰溰霜皃
溱	4068	452	tʂin		水名在河南
溳	4124	456	ɦiun		水名在南陽一云在[美/蔡]陽
溳	11532	1483	ɦwi̋n		濜溳波相次也
溵	4237	465	ʔiɨn		上同㶏水名在潁川
溶	472	50	jiowŋ		水皃又音勇
溶	9883	1180	jiow̋ŋ		水皃又音容
溷	17424	2612	ɦwonʱ		濁也
溹	23112	3583	sɑk		水名在榮陽又所戟切
溹	23274	3602	ʂiak		水名又雨下皃
溹	23558	3641	ʂɣɛk		溹溹雨下皃
溺	22834	3545	nʑiɑk		水名出龍道山其水不勝鴻毛又奴歷切
溺	23951	3683	nek	to sink in water	溺水古作㲻又音弱又姓也
溼	24447	3753	ɕip	low wet ground	水霑也失入切三
溽	20617	3251	nʑiowk		溽暑濕熱
溾	3383	353	ʔɣwɛi		溾涹穢濁
溾	11303	1435	ɦwői		溾浽穢濁也
滀	20469	3226	ʈʰiuk	accumulated (feelings)	水聚
滁	2183	243	ɖiɤ		水名出簸箕山入海亦州春秋時楚地梁爲南譙州齊改爲臨滁郡開皇改爲滁州
滂	7444	848	pʰɑŋ		滂沱普郎切七
滃	9801	1164	ʔűŋ		大水皃
滄	7334	840	tsʰɑŋ		滄浪亦州後魏所置蓋取滄海爲名
滄	18909	2910	tʂʰiɑŋʱ		[滄/凔]寒也
滅	22605	3500	mjiet	destroy	盡也絶也亡列切二
滆	23507	3637	ɦɣɛk		湖名在常州義興縣
滇	5143	584	den		滇[汚/㴐]大水皃又都年切
滇	5156	586	ten		滇池在建寧
滇	17899	2700	tʰenʱ		滇㴐大水又音田
滈	12781	1713	ɦɑ̋w		水名在京兆
滈	20915	3283	hɣɔk		水皃
滉	13453	1846	ɦwɑ̋ŋ		滉瀁水皃
滋	1838	206	tsɨ	abundant	水名出髙麗山又旨也蒔也多也[藩/蕃]也液也
滌	23899	3679	dek	wash, clean (v.)	洗也除也淨也
滍	10317	1262	ɖi̋		水名在魯陽
滎	8217	944	ɦweŋ		小水也又水名在鄭州
滏	10822	1356	bwiő		水名在鄴山海經云神箘之山[釜/滏]水出焉
滐	22572	3494	ɡiet		水激迴出海賦
滑	21566	3374	kwot		滑稽謂俳諧也
滑	21730	3390	ɦwot		滑亂也出列子
滑	22053	3429	ɦɣwɛt	slippery	利也亦州名春秋時爲衞國秦爲東郡後魏以東郡屬司州周改爲滑州因滑臺以爲名又姓風俗通云漢有詹事滑典又音骨滑稽也戸八切八
滒	6417	725	kɑ		多汁
滓	10512	1308	tʂɨ̋		澱也阻史切五
滔	6265	711	tʰɑw	rushing water	漫也又水流皃
滕	8381	981	dəŋ		國名亦姓滕侯之後以國爲氏
滫	13892	1945	siű		溲麵說文曰久泔也息有切四
滬	11059	1389	ɦő		靈龜負書出𤣥滬水
滭	21097	3306	pjit		滭沸泉出皃亦作觱見詩俗作⿱咸水
滯	16359	2407	ɖieiʱ	obstruct	廢也止也凝也久也直例切七
滰	13254	1805	ɡiɑ̋ŋ		乾米之皃
滱	8918	1022	kʰəu		水名在北地又音寇
滱	19462	3064	kʰəuʱ		水名在代郡
滲	19640	3094	ʂimʱ		滲漉所禁切二
滴	23854	3676	tek		水滴也亦作𤁷
滵	21163	3313	mit		滵汩水流皃
滶	6357	718	ŋɑw		水名出南陽魯陽縣
滷	10947	1377	lő		鹹滷
滷	23673	3654	tɕʰiek		鹵滷
滷	23913	3679	dek		鹹也
滸	11017	1385	hő	river bank	水岸
滹	2753	284	ho		滹池水名周禮作虖池
滻	12043	1592	ʂɣɛ̋n		水名在京兆
滽	473	50	jiowŋ		水名出冝蘇山
滿	11981	1572	mwɑ̋n	full	盈也充也亦姓出山陽風俗通荆蠻有瞞氏音舛變爲滿魏有滿寵莫旱切五
漁	1994	226	ŋiɤ	to fish	說文云捕魚也尸了曰燧人之世天下多水故敎民以漁也又水名在漁陽
漂	5978	683	pʰjiew		浮也亦作𣿖
漂	18269	2775	pʰjiewʱ		水中打絮韓信寄食於漂母又撫招切
漅	12683	1694	tsie̋w		水名
漆	20970	3291	tsʰit	varnish tree	水名在岐又姓古有漆沈爲魯相何氏姓苑云今豫章人又漢複姓孔子弟子漆彫開
漉	20033	3191	luk		滲漉又瀝也說文浚也一曰水下皃
漊	10917	1371	lwiő		說文曰雨漊漊也一曰汝南人謂㱃酒習之不醉爲漊
漊	14033	1968	ləű		溝通水漊▼漊字當删▲也
漌	11650	1508	kiɨ̋n		淸也
漍	23422	3628	kɣwɛk		水
漏	19568	3076	ləuʱ	leak (v.)	漏刻說文曰漏以銅受水刻節晝夜百刻爾雅曰西北隅謂之屋漏又禹耳三漏
漐	24547	3767	ʈʰip		汗出皃
漑	15463	2285	kiɨi ʱ		漑灌又古代切
漑	16967	2533	kəiʱ		灌也又水名出東海桑瀆縣覆甑山古代切六
漓	1037	112	lie		水滲入地
演	12219	1620	jie̋n	flow out, extend	廣也亦水長流皃以淺切八
漕	6386	719	dzɑw		衞邑名又水運曰漕又昨到切
漕	18506	2818	dzɑwʱ		水運穀在到切二
漘	3999	440	ʑwin	borders of a river	水際
漙	4780	528	dwɑn		詩云零露漙兮
漚	8861	1018	ʔəu		浮漚
漚	19536	3073	ʔəuʱ		久漬也烏候切三
漞	23969	3685	mek		並上同汨汨𤄷水名在豫章屈原所沈之處
漠	22961	3571	mɑk		沙漠又施也茂也
漢	17567	2642	hɑnʱ	(river name)	水名又姓姓苑云東莞人呼旰切九
漣	5359	613	lien	ripple; drip	漣漪風動水皃
漣	18155	2753	lienʱ		按摙之皃
漤	14269	2017	lə̋m		鹽漬果
漦	1849	208	ʐɨ		涎沫也又順流也俟甾切一
漧	4670	517	kɑn	dry	古文乾字樣云本音虔今借爲乾濕字又姓出何氏姓苑
漨	567	59	biowŋ		水名
漪	1188	125	ʔie		於離切水文也十一
漫	17703	2661	mwɑnʱ	wide, limitless	大水
漬	14831	2170	dzieʱ		浸潤又漚也疾智切八
漭	13416	1840	mɑ̋ŋ		漭沆水大
漭	19024	2944	mɑŋʱ		漭浪大野莫浪切三
漮	7369	843	kʰɑŋ		說文云水虚也
漯	24648	3781	tʰəp		水名在平原
漰	8402	985	pʰəŋ		漰[㴾/渤]水擊聲普朋切二
漱	19348	3043	ʂiuʱ	wash	漱口
漱	19525	3070	səuʱ		漱口又音瘦
漲	7093	816	ʈiɑŋ		水大皃又音帳
漲	18856	2898	ʈiɑŋʱ		大水又陟良切
漳	7041	811	tɕiɑŋ		水名山海經曰漳水出荆山南注于沮水
漴	14733	2146	ɖʐɣɔŋʱ		水所衝也士絳切一
漵	10732	1345	ziɤ̋		水浦也
漶	17623	2649	ɦwɑnʱ		漫漶不可知也
漷	23208	3592	kʰwɑk		水名在魯又許虢切
漷	23363	3619	hɣwak		水名在東海又音廓
漸	9543	1116	tsiem	moisten	入也漬也又慈染切
漸	14426	2047	dzie̋m	gradually; advance	漸次也進也稍也事之端先覩之始也地理志有漸江今之浙江也慈染切十
漹	5595	643	ɦien		水名出西河也有乾切三
漹	17403	2603	ʔiɐnʱ		水名在襄陽冝城入漢江也
漺	13262	1807	tʂʰiɑ̋ŋ		[淨/凈]也
漺	13276	1810	ʂiɑ̋ŋ		[淨/凈]也又初兩切
漻	5707	653	lew		水淸也
漼	11340	1441	tsʰwői		水深皃
漾	18811	2893	jiɑŋʱ		水名在隴西餘亮切十二
漿	7138	820	tsiɑŋ	drink (n.)	漿水
潁	13602	1887	jwie̋ŋ		水名在汝南亦州名禹貢豫州之境春秋時沈丘也秦爲潁川郡漢爲汝南郡之汝隂後魏置潁州餘頃切二
潎	16428	2419	pʰjieiʱ		魚游水也匹蔽切一
潎	22686	3516	pʰjiet		漂潎又匹蔽切
潏	21210	3323	ʑwit		爾雅曰小沚曰坻人所爲爲潏謂人力所作又音聿音譎
潏	21234	3326	jwit		水流皃
潏	22297	3473	kwet		泉出皃又水名在京兆又音聿
潐	18310	2782	tsiewʱ		盡也
潒	13221	1801	ziɑ̋ŋ		潒逺
潒	13365	1832	dɑ̋ŋ		水大之皃又[洗/洸]潒也
潓	16098	2375	ɦweʱ		水名
潔	22254	3469	ket	pure, purify	淸也經典用絜
潕	10805	1355	mwiő		水名在南陽
潗	24451	3754	tsip		泉出
潘	4885	537	pʰwɑn		淅米汁又姓周文王[-/子]畢公之子季孫食采於潘因氏焉出廣宗河南二望普官切六
潙	828	89	ɦwie		水名在新陽
潙	833	90	kwie		水名又音爲
潚	5608	648	sew		水名
潚	20447	3223	siuk		深淸也亦姓漢有潚河
潛	9551	1117	dziem	go under water	水伏流又藏也亦水名又姓姓苑云臨川人昨鹽切九
潛	19806	3141	dziemʱ	to hide; secretly	藏也慈豔切一
潝	24521	3764	hip		水流皃
潞	15781	2344	loʱ		水名又州名春秋時初爲黎國後爲狄境古黎亭也周爲潞州隋爲韓州又爲上黨郡唐爲潞州開元中陞爲大都督府又縣名在幽州
潟	23580	3649	siek	salty soil	鹹土
潠	17432	2614	swonʱ		潠水
潢	7392	845	ɦwɑŋ		說文云積水池也
潢	19017	2940	ɦwɑŋʱ		釋名曰染書也又音黃
潣	11289	1433	mwői		上同浼水流平皃武罪切六
潣	11514	1481	mi̋n		水流浼浼皃
潤	17262	2579	nʑwinʱ		潤澤也又益也
潦	12788	1715	lɑ̋w		雨水
潦	18483	2814	lɑwʱ		上同澇淹也又水名或作潦
潧	4069	452	tʂin		水名在鄭國出說文此水南入洧詩作溱洧誤
潨	76	5	tɕiuŋ	junction of two rivers	小水入大水又徂紅在冬二切
潨	282	26	dzuŋ		水會也
潨	389	37	dzowŋ	junction of two rivers	小水入大水也又徂紅職戎二切
潩	15321	2264	jɨʱ		水名在河南密縣出文字音義
潩	24176	3712	jɨk		水名出密縣大[隗/騩]山
潪	14841	2171	ʈieʱ		水名
潪	23702	3657	ɖiek		土得水也
潫	4910	541	ʔɣwan		盤盂說文曰飯器也又姓左傳晉有盂丙
潫	5475	625	ʔjwien		水深
潫	5599	644	ʔwien		水深皃
潬	11878	1554	dɑ̋n		水中沙[-/出]爲潬今河陽縣南有中潬城
潭	9234	1072	dəm	deep, pond	水名出武陵郡[潭/鐔]成縣東入鬱林又深水皃
潭	14161	2003	ji̋m		潭濼水動摇皃以荏切又徒南切一
潮	5779	661	ɖiew	morning tide	潮水
潯	9034	1046	zim		傍深又水涯也
潰	16897	2520	ɦwoiʱ	break through an embankment (of water)	逃散又亂也胡對切十三
潲	18382	2799	ʂɣawʱ		豕食又雨濺也
潶	24343	3731	hək		水名在雍州
潷	21190	3317	pit		去滓
潸	4897	539	ʂɣan	tears flowing	出涕皃
潸	11998	1578	ʂɣa̋n		淚下皃數板切又音刪一
潺	4998	559	ɖʐɣɛn		潺湲水流又士連切
潺	5317	607	ɖʐien		潺湲水流皃士連切五
潼	35	2	duŋ		水名出廣漢郡亦關名又通衝二音
潼	466	49	tɕʰiowŋ		河潼又音同
潾	3818	412	lin		水名
潾	5019	564	lɣɛn		水皃又力人切
潿	1883	213	ɦiui		水不流濁皃
澀	24509	3763	ʂip		上同歰說文曰不滑也色立切八
澁	24510	3763	ʂip		俗歰說文曰不滑也色立切八
澂	8238	948	ɖɨŋ		淸也直陵切五
澄	7663	878	ɖɣaŋ		水淸定又音懲
澄	8239	948	ɖɨŋ	limpid, clear	上同澂淸也直陵切五
澅	16622	2458	ɦɣwɛʱ		水名在齊
澆	5677	652	kew		沃也薄也
澆	18218	2765	ŋewʱ		韓浞子名又音梟
澇	6222	708	lɑw		水名在京兆又郎到切
澇	12796	1715	lɑ̋w		水名又力到切
澇	18482	2814	lɑwʱ		淹也又水名或作潦
澈	22694	3518	ɖiet	clear, limpid	水澄
澉	14286	2020	kɑ̋m		澉䭕[-/食]無味
澉	19729	3120	tʰɑmʱ		薄味
澋	13560	1873	ɦɣwa̋ŋ		㴄澋水回旋也
澌	14768	2156	sieʱ		盡也禮注云死之言澌也
澍	15632	2318	dʑwioʱ		時雨又音注
澍	15657	2321	tɕwioʱ		時雨又殊遇切
澎	7594	868	bɣaŋ		地名又擊水勢又撫庚切
澎	7640	874	pʰiaŋ		澎𣽎水皃又音彭
澐	4125	456	ɦiun		江水大波
澒	9795	1163	ɦűŋ		說文曰丹沙所化爲水銀也又濛澒大水胡孔切五
澓	20175	3201	biuk		澓流又姓漢宣帝時有東海澓仲翁
澗	17739	2668	kɣanʱ	stream in a ravine	溝㵎爾雅曰山夾水㵎亦作礀𡼏
澞	2237	250	ŋwio		爾雅曰山來水㵎陵夾水澞
澠	8281	954	ʑɨŋ		水名在齊在傳云有酒如澠又泯緬二音
澠	11526	1482	mji̋n		上同黽又音繩黽池縣在河南府俗作[㫣/黾]又音緬
澡	12842	1722	tsɑ̋w	wash (v.)	澡洗
澣	11915	1561	ɦwɑ̋n		濯也
澤	23372	3620	ɖɣak	marsh; moisture	潤澤又恩也亦陂澤釋名曰下有水曰澤又州名秦爲上黨郡後魏爲建興郡周爲澤州取濩澤以名之亦姓出姓苑
澥	11192	1409	ɦɣɛ̋		渤澥
澦	15607	2309	jiɤʱ		灩澦水名
澧	11079	1393	le̋		水名在武陵又水名出衡山亦姓出何氏姓苑
澨	16312	2403	dʑieiʱ		水名書曰過三澨
澩	12702	1700	ɦɣa̋w		動水聲下巧切說文音學六
澩	20729	3268	ɖʐɣɔk		山夏有水冬無水
澩	20902	3282	ɦɣɔk		涸泉
澪	8144	939	leŋ		水名
澬	1340	148	tsi		水名在邵陵又音茨
澬	1382	153	dzi		水名在常山郡又涔澬久雨又音資
澭	530	54	ʔiowŋ		水名在宋
澮	16512	2434	kwɑiʱ	watering channel, drain	上同巜爾雅曰水注溝曰澮又水名在平陽說文曰水流澮澮也方百里有巜廣二尋深二仞
澱	17883	2699	denʱ		澱滓亦藍澱也
澲	25273	3862	ŋiɐp		横水大版
澳	18518	2819	ʔɑwʱ	bay, cove	澳深又水名
澳	20420	3222	ʔiuk		隈也水内曰澳
澴	4927	543	ɦɣwan		水名
澶	5341	610	dʑien		杜預云澶淵地名在頓丘縣南又音纏
澶	17537	2638	dɑnʱ		澶漫
澹	9362	1087	dɑm		漢複姓孔子弟子有澹臺滅明又徒覽徒濫二切
澹	14312	2025	dɑ̋m	calm	澹淡水皃淡音琰又恬靜又徒濫切
澹	19744	3124	dɑmʱ		水摇動皃
澺	24127	3708	ʔɨk		水名在上蔡
澻	14953	2200	zwiʱ		田閒小溝
澼	23797	3674	pʰek		莊子洴澼絖漂絮者
澽	15518	2293	kiɤʱ		乾水又音遽
澽	15577	2303	ɡiɤʱ		乾澽
澾	21767	3395	tʰɑt		泥滑
澿	9156	1061	ɡim		水名
激	18189	2760	kewʱ		水急又古歷切
激	23786	3673	kek	dam up (water)	疾波又姓淮南王傳有激章古歷切九
濁	20850	3277	ɖɣɔk	muddy	不淸也又姓漢書貨殖傳云濁氏以胃脯而連騎直角切十六
濃	543	55	ɳiowŋ	thick (esp. as a liquid); strong (sc. drink)	厚也
濄	6667	755	ʔwɑ		水回
濆	4154	458	biun		水際也又水名
濆	4574	500	pʰwon		潠也普魂切三
濇	24145	3709	ʂɨk		不滑
濇	24513	3763	ʂip		不滑
濈	24534	3765	tʂip	crowded together	和也
濉	1510	168	swi		上同睢水名在梁郡又許葵切
濊	16530	2436	hwɑiʱ		說文曰水多皃又烏會切
濊	16540	2441	ʔwɑiʱ		汪濊深廣又呼會切
濊	17043	2546	ʔwiɐiʱ		濊貊夫餘國名或作獩[䫉/貊]又汪濊又烏外切
濊	21953	3416	hwɑt	sound of water	水聲
濋	10705	1339	tʂʰiɤ̋		水名
濌	24659	3781	tʰəp		積厚
濎	13669	1901	te̋ŋ		濎濘水皃
濓	9614	1127	lem		薄也
濔	10159	1227	mjie̋		水流皃
濕	24448	3753	ɕip	to flap (sc. the ears)	上同溼見經典又他合切水霑也失入切三
濕	24649	3781	tʰəp		上同漯水名在平原
濗	23978	3685	mek		瀝濗水淺
濘	13704	1907	ne̋ŋ		泥也又乃定切
濘	16171	2382	neʱ		濘陷
濘	19158	2994	neŋʱ		泥濘
濙	13699	1905	ʔwe̋ŋ		汫濙烏迥切一
濛	205	23	muŋ		涳濛細雨
濛	9767	1158	műŋ		濛澒大水又莫紅切
濜	3835	416	tsin		氣之液也本亦作𧗁
濜	11470	1474	dzi̋n		濜溳水流急皃
濜	11584	1497	ɖʐi̋n		濜溳水勢鉏紖切一
濜	17163	2561	zinʱ		水名
濞	15012	2206	pʰiʱ		水聲匹備切六
濞	16125	2378	pʰeʱ		水名又芳備切
濟	11099	1396	tse̋	numerous	定也止也齊也亦濟濟多威儀皃又水名出王屋亦州本齊地秦屬東郡宋於此置碻磝戍後魏於此置濟北郡周武帝置肥城郡武德改爲濟州或作泲又姓出姓苑襄城人也子禮切又音霽五
濟	15924	2361	tseʱ	cross a stream; rescue	渡也定也止也又卦名旣濟又子禮切
濠	6192	706	ɦɑw		城濠又水名
濡	2345	256	nʑwio	wet, glossy	水名出涿郡又霑濡
濡	4705	521	nwɑn		水名出涿郡乃官切一
濢	10374	1278	tswi̋		汁漬也遵誄切四
濢	15138	2225	tsʰwiʱ		下濕
濤	6326	716	dɑw		波濤
濥	11501	1480	ji̋n		水門又引水也說文曰水脈行地中濥濥也
濥	17104	2554	jinʱ		說文云水脉行地中濥濥然
濧	16822	2509	dwoiʱ		漬也濡也
濨	1832	205	dzɨ		㵎水名也
濩	15843	2349	ɦoʱ		布濩
濩	23201	3591	ɦwɑk		說文曰雨流霤下皃
濩	23388	3622	ʔwiak		濩澤縣在澤州又音護
濫	14534	2079	ɦɣa̋m		泉正出也又盧暫切
濫	19715	3119	lɑmʱ		叨濫汎濫盧𣊟切九
濬	17226	2575	swinʱ	deep	深也
